"","fips","aveBMI","avePM.idw","per.black","per.latinx","per.asnam","per.white","med.hinc","med.hval","lt.HS","female.unemp","male.unemp","climate.region"
"15",1067,28.75986323,10.271717,0.27630006,0.017483562,0.002166766,0.695233114,38379,89700,24.5,9.8,11.7,"southeast"
"16",1069,28.03872108,10.271717,0.237036844,0.025384686,0.007987366,0.715443547,41022,116300,23.4,6.3,5.7,"southeast"
"17",1073,27.93274919,12.86497815,0.397130203,0.033912902,0.013878691,0.545281364,45244,138300,18.8,8.1,7.9,"southeast"
"18",1077,29.31864373,10.546957,0.094091603,0.017352565,0.007782529,0.868742008,39345,107400,15.8,8,7.5,"southeast"
"19",1079,28.19448999,10.97186757,0.115374408,0.01163981,0.001251185,0.786236967,40516,97600,24,6.8,10,"southeast"
"20",1081,27.88578741,12.72750225,0.211714033,0.029285083,0.025870638,0.719748564,40894,139500,7.1,7.2,7.8,"southeast"
"21",1083,29.94653942,11.37153107,0.127425584,0.043036727,0.009869205,0.80264768,46682,122300,25,8.2,6.2,"southeast"
"22",1089,28.12030787,11.585833,0.230729161,0.039855711,0.024478989,0.681166062,55851,155600,17.6,7.3,6.8,"southeast"
"23",1095,28.1853915,11.498058,0.01462156,0.094495413,0.005146216,0.86928039,37661,101300,27.8,5.2,6.6,"southeast"
"24",1097,28.51790976,9.670892318,0.321242619,0.02240709,0.018047193,0.619838984,40996,120700,21.2,9.1,8.5,"southeast"
"25",1101,28.95352414,10.765714,0.519590522,0.031703965,0.019775283,0.418312201,NA,121000,20.9,7.6,6.7,"southeast"
"26",1103,27.65489217,11.27803854,0.110393326,0.061530165,0.00559065,0.802918583,44349,115300,25.3,7.6,7.5,"southeast"
"27",1111,28.08265327,10.536283,0.189048165,0.021330275,0.002408257,0.776261468,34593,88100,26.4,7.7,11,"southeast"
"28",1113,29.73609547,12.73668164,0.394367268,0.030293044,0.004993916,0.553057189,32481,93300,26.5,11.5,9.6,"southeast"
"29",1115,27.65776165,11.60025914,0.084761711,0.016513244,0.005896467,0.880706321,48837,126500,24.7,6.6,6,"southeast"
"30",1117,28.40039056,11.47005381,0.102306319,0.050550223,0.018232809,0.817761485,68380,193900,14.7,5.8,4.3,"southeast"
"31",1121,29.21482091,11.5473159,0.302098213,0.018950576,0.004078977,0.663793924,36948,87000,22.3,11.8,8.8,"southeast"
"32",1125,28.5383102,10.89924882,0.27072022,0.027343494,0.012409237,0.679786747,42311,148400,14,6.2,5.1,"southeast"
"33",1127,27.78783137,11.26714583,0.054414824,0.016796363,0.002715926,0.914457971,37191,83600,21.2,11,10.3,"southeast"
"34",1133,30.33983835,11.290265,0.004222048,0.019598645,0.002293458,0.958405004,33685,83700,24.6,6.5,7.8,"southeast"
"35",4013,27.02013287,8.169137169,0.044767369,0.247093537,0.034807437,0.642819665,55054,238600,20.9,6,6.7,"southwest"
"36",4021,28.03127471,8.342623,0.041837215,0.24486181,0.017466585,0.632042598,51310,164000,30.7,6.6,7.2,"southwest"
"37",4023,27.58340944,10.218644,0.00228241,0.78161899,0.005903834,0.204108338,36519,148200,37.3,12.2,9.6,"southwest"
"38",4025,26.75566049,3.866667,0.004924926,0.105320794,0.008403411,0.854875735,43290,231000,26.9,6.4,6.5,"southwest"
"39",5001,28.3645999,11.410256,0.224133205,0.024462108,0.005070577,0.736192956,37230,78900,20.2,6.8,6,"south"
"40",5003,26.81819985,11.214167,0.246625915,0.038915451,0.001815651,0.704775162,34934,62100,18,9.7,9,"south"
"41",5007,26.854495,11.139831,0.011072725,0.125561944,0.028120709,0.803324326,50434,155000,18.3,4.2,5.4,"south"
"42",5029,33.22693866,11.12604078,0.108878968,0.02765377,0.003410218,0.840277778,32700,82100,21.5,6.3,6.3,"south"
