ent,Date,pm25,bc,Sodium,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Br,Ba,Pb
1922,4/6/03,3,0.24110254,0.1509,0.0475,0.0687,0.5788,0.0016,0.0268,0.0245,0.0014,0.0021,2.00E-04,0,0.0451,0.0021,1.00E-04,0.0112,3.00E-04,0,0,0,0.0065
1923,4/7/03,5.4,0.41931736,0.196,0.0412,0.084,0.6488,0.0055,0.0279,0.0404,0.0024,0.0049,0,0,0.0494,0.0085,0.0024,0.025,0,0,5.00E-04,0.0186,0.0044
1924,4/8/03,8.3,0.66169931,0.3339,0.0283,0.0692,0.9947,0.0043,0.0407,0.0434,0.0022,0.0059,6.00E-04,0,0.0428,0.0059,0.0012,0.0123,0,0,0.0027,0.0011,0.0057
1925,4/9/03,10.5,0.87072049,0.3752,0.0492,0.0966,1.0486,0.0049,0.0529,0.0526,0.0038,0.0112,3.00E-04,0.0024,0.0853,0.0117,0.0063,0.0218,0,0,0.0019,0,0.0071
1926,4/10/03,9.2,0.82110417,0.2967,0.0795,0.1369,0.8937,0.0059,0.0583,0.0445,0.0036,0.0069,5.00E-04,0.002,0.0838,0.0082,0.0036,0.0167,0.0022,0,0,0.0052,0.0077
1927,4/11/03,6.1,0.74609201,0.1573,0.0431,0.0992,0.5916,0.0073,0.0343,0.0356,0.0017,0.0026,0.0014,0,0.0583,0.0035,0.0058,0.0148,8.00E-04,0,0.0025,0.0099,0.0071
1928,4/12/03,5.9,0.28071458,0.1295,0.037,0.066,0.5427,0.0052,0.0404,0.0247,0.0049,0.0014,2.00E-04,7.00E-04,0.0442,0.002,0.0034,0.0071,0.0011,0,1.00E-04,0.0095,0.0026
1929,4/13/03,7.1,0.2457434,0.071,0.0571,0.0724,0.6795,8.00E-04,0.0409,0.0283,0.0047,0.0056,3.00E-04,0,0.0683,0.0058,0.0016,0.01,0,0,9.00E-04,0.0093,0.0048
1930,4/14/03,7.7,0.65255382,0.1479,0.0766,0.0967,0.8059,0.0019,0.0436,0.032,0.0038,0.0024,3.00E-04,8.00E-04,0.0622,6.00E-04,0.0061,0.0076,0.0019,0,0.0013,0.0159,0.0065
1931,4/15/03,19.1,0.65718403,0.2898,0.1201,0.1951,2.1292,0.0046,0.0819,0.0675,0.0079,0.0042,4.00E-04,0,0.11,0.0021,0.0012,0.0183,0.0024,0,0.0023,0.0183,0.0063
1932,4/16/03,10.6,0.83537326,0.2178,0.0979,0.1569,1.0024,0.0116,0.061,0.062,0.0041,0.0023,5.00E-04,0,0.0819,0.0024,0.0045,0.0092,0,0,0,0.0063,0.0044
1933,4/17/03,4.7,0.36901674,0.2235,0.0412,0.0731,0.4738,0.0919,0.0278,0.0314,0.0025,5.00E-04,0,0,0.0407,0.0012,0.0024,0.0053,5.00E-04,0,0,0.0183,0.0013
1934,4/18/03,6.6,0.38172743,0.5419,0.046,0.0741,0.574,0.2132,0.0379,0.039,0.0022,0.0023,7.00E-04,0,0.0422,0.0021,5.00E-04,0.005,7.00E-04,0,0,0.0099,0.0013
1935,4/19/03,8.3,0.42307778,0.4212,0.036,0.0471,0.8457,0.0128,0.0376,0.0276,0.0021,0.0115,1.00E-04,0.001,0.0427,0.007,0.001,0.0046,0,0,0.0019,0.0098,0.0038
1936,4/20/03,6.7,0.38428437,0.3397,0.0358,0.0705,0.688,0.0042,0.0315,0.029,0.0041,0.0022,1.00E-04,0,0.0691,0.0026,0.0058,0.0107,0,0,0,0.0083,0.0033
1937,4/21/03,7.6,0.66023056,0.2351,0.0502,0.0621,0.8363,0.002,0.0323,0.0297,0.0029,0.0026,0.0012,2.00E-04,0.0536,0.0017,0,0.0096,0.0011,0,0,0,0.0041
1938,4/22/03,14.3,0.99969618,0.0901,0.0165,0.0249,0.7837,0.001,0.0123,0.0183,0.0015,0.004,8.00E-04,0,0.0388,0.0038,0.0043,0.0044,3.00E-04,0,0,0,0.0056
1939,4/23/03,4.6,0.4563125,0.0988,0.0216,0.0581,0.3682,0.0025,0.0206,0.0321,0.0024,6.00E-04,5.00E-04,0,0.0321,5.00E-04,6.00E-04,0.0207,0,0,0,0.0015,0.0042
1940,4/24/03,5.7,0.41562951,0,0.0388,0.0647,0.4059,3.00E-04,0.0224,0.0322,0.002,0.0011,3.00E-04,0,0.0479,0.002,0.0043,0.0149,0,0,0,0,0.0048
1941,4/25/03,7.1,0.4639816,0.1563,0.0685,0.2082,0.4672,0.0036,0.0388,0.0379,0.0042,0.0018,3.00E-04,0,0.0624,7.00E-04,6.00E-04,0.0215,0,0,0,0.005,0.0138
1942,4/26/03,4.4,0.44742569,0.2711,0.0241,0.0362,0.4456,0.0084,0.0201,0.0178,0.0017,0.0014,3.00E-04,0,0.0278,0.0019,0.0014,0.025,8.00E-04,0,0,8.00E-04,0.0032
1943,4/27/03,9.5,0.69425799,0.1079,0.0607,0.1427,0.8086,0.0046,0.0531,0.0376,0.008,0.0039,6.00E-04,0,0.1664,0.0043,0.006,0.0161,0.0024,0,0.0015,0.0255,0.0101
1944,4/28/03,12.1,0.75068368,0.1959,0.1391,0.2538,1.4833,0.004,0.0692,0.0609,0.0071,0.0015,9.00E-04,0,0.1175,0.0027,0.0034,0.0103,4.00E-04,0,8.00E-04,0.0201,0.0083
1945,4/29/03,8.8,0.64407083,0.1351,0.1055,0.1778,1.0107,0.0021,0.0478,0.0713,0.0044,9.00E-04,5.00E-04,0,0.085,1.00E-04,0.0079,0.0106,0.0015,0,0,0,0.004
1946,4/30/03,5.4,0.48248021,0.1073,0.0695,0.1361,0.4006,0.0016,0.0317,0.0513,0.0043,0.0042,6.00E-04,0,0.0685,0.004,0.0045,0.005,0.0013,0,0.0012,0.0063,0.0035
1947,5/1/03,17.2,0.83342014,0.3832,0.0798,0.1016,2.456,0.0029,0.0408,0.0248,0.0033,0.0052,0,3.00E-04,0.0515,0.0039,0.0049,0.0102,0,0,0,0,0.0046
